Age,sport_engagement,Gender,CGPA,academic_workload,Academic_pressure,Anxiety,average_sleep,Diet_Quality,Social_relationships,Financial_pressure,Extracurricular_Involvement,Residence_Type,current_academic_year
25,1,Male,3.56,3,3,2,7-8hrs,5,s,2,3,On-Campus,3
24,1,Female,2.44,4,3,1,4-6hrs,3,1,3,1,On-Campus,3
19,1,Female,3.74,4,1,3,7-8hrs,3,3,4,5,On-Campus,2
19,1,Male,3.65,2,1,1,4-6hrs,3,3,4,3,Off-Campus,1
18,1,Male,3.4,3,3,4,7-8hrs,3,5,0,5,On-Campus,3
21,4,Female,3.35,2,4,3,7-8hrs,5,5,5,3,Off-Campus,4
18,2,Male,3.65,2,2,5,7-8hrs,3,3,4,3,Off-Campus,2
21,1,Female,3.4,4,3,3,4-6hrs,3,1,3,3,On-Campus,3
24,2,Male,3.8,3,2,1,1-3hrs,3,3,2,1,On-Campus,2
19,5,Female,3.05,2,5,1,4-6hrs,5,1,1,3,Off-Campus,5
23,2,Female,3.74,3,2,4,4-6hrs,5,3,3,3,Off-Campus,2
28,1,Female,,3,3,3,4-6hrs,3,3,0,3,Off-Campus,2
22,1,Male,3.19,1,1,3,4-6hrs,3,3,1,5,On-Campus,1
27,2,Male,3.26,3,2,2,4-6hrs,3,5,1,3,With Family,2
24,1,Female,3.2,3,3,3,4-6hrs,1,3,2,3,On-Campus,2
25,1,Male,3.61,3,1,5,7-8hrs,3,3,4,3,Off-Campus,1
18,1,Female,3.85,4,1,3,7-8hrs,3,3,1,3,Off-Campus,1
19,1,Male,3.26,5,1,1,7-8hrs,3,5,4,3,With Family,1
22,1,Male,3.46,3,1,1,7-8hrs,3,3,4,5,Off-Campus,1
20,2,Male,3.43,2,2,2,7-8hrs,3,1,3,1,With Family,2
20,1,Male,3.38,5,3,2,4-6hrs,3,1,4,1,On-Campus,3
27,1,Male,3.56,1,3,2,7-8hrs,5,5,4,3,On-Campus,3
31,5,Female,3.5,4,5,2,4-6hrs,3,5,3,5,Off-Campus,5
18,1,Female,3.6,2,3,5,7-8hrs,3,1,2,1,On-Campus,2
26,1,Male,3.08,4,3,3,4-6hrs,1,1,4,1,Off-Campus,2
28,1,Female,3.6,5,1,3,7-8hrs,3,5,2,1,With Family,1
35,5,Female,3.88,5,5,4,7-8hrs,3,5,3,3,Off-Campus,5
24,1,Female,3.43,3,1,3,7-8hrs,3,3,5,1,Off-Campus,1
19,1,Male,3.21,3,1,2,7-8hrs,3,3,4,3,Off-Campus,1
22,2,Female,3.62,3,2,1,4-6hrs,3,3,5,1,On-Campus,2
22,1,Female,3.16,2,1,5,7-8hrs,3,3,3,1,On-Campus,1
26,1,Female,3.71,3,1,2,7-8hrs,3,5,3,1,On-Campus,1
22,1,Female,3.38,3,3,4,4-6hrs,5,3,0,3,With Family,2
25,1,Female,3.48,2,3,2,4-6hrs,1,5,2,3,With Family,3
26,1,Male,3.27,4,1,3,7-8hrs,3,3,5,3,With Family,1
18,1,Male,3.41,3,1,1,4-6hrs,3,1,1,1,With Family,1
18,1,Male,3.22,4,3,5,7-8hrs,3,5,2,1,Off-Campus,2
19,1,Male,3.16,3,3,4,4-6hrs,3,3,1,1,With Family,3
19,1,Female,3.71,4,3,3,4-6hrs,3,3,0,1,Off-Campus,3
23,5,Female,3.65,2,5,1,7-8hrs,3,1,0,3,With Family,5
21,5,Female,3.33,5,5,3,7-8hrs,3,3,5,1,With Family,5
19,1,Female,3.01,5,3,3,7-8hrs,3,5,2,5,Off-Campus,3
30,1,Female,3.97,3,3,1,7-8hrs,5,3,1,3,With Family,3
19,1,Male,4,5,3,1,7-8hrs,1,3,3,1,With Family,2
22,1,Male,3.62,2,1,4,7-8hrs,3,3,2,1,With Family,1
25,4,Female,3.63,4,4,1,4-6hrs,5,5,2,1,Off-Campus,4
22,1,Female,2.99,2,3,4,7-8hrs,1,1,0,1,With Family,2
35,4,Male,3.11,3,4,4,7-8hrs,3,1,1,3,On-Campus,4
32,1,Female,3.02,3,1,1,7-8hrs,3,3,2,3,With Family,1
18,1,Female,3.66,5,3,1,7-8hrs,3,5,0,3,On-Campus,2
27,2,Male,3.09,1,2,2,7-8hrs,1,3,3,5,Off-Campus,2
23,1,Male,,4,3,1,7-8hrs,3,5,5,1,Off-Campus,2
20,1,Male,3.12,4,1,1,4-6hrs,1,3,0,3,On-Campus,1
19,5,Female,3.82,2,5,1,4-6hrs,3,5,4,3,On-Campus,5
19,4,Female,3.23,4,4,1,4-6hrs,5,5,4,1,On-Campus,4
23,1,Female,3.7,4,1,2,4-6hrs,3,1,4,5,On-Campus,1
26,2,Male,2.95,3,2,1,7-8hrs,1,3,0,3,On-Campus,2
22,5,Female,3.6,4,5,2,4-6hrs,5,3,0,1,Off-Campus,5
29,5,Male,3.73,5,5,4,7-8hrs,3,3,0,3,On-Campus,5
22,4,Male,3.63,5,4,3,7-8hrs,3,3,1,3,Off-Campus,4
23,1,Female,3.64,3,1,3,7-8hrs,5,3,2,3,Off-Campus,1
25,5,Male,3.79,1,5,5,1-3hrs,3,5,1,5,Off-Campus,5
24,1,Male,3.59,2,3,3,4-6hrs,1,1,5,1,Off-Campus,3
24,2,Female,3.62,3,2,1,7-8hrs,3,1,4,1,With Family,2
20,4,Female,4,4,4,2,4-6hrs,3,5,2,3,Off-Campus,4
23,1,Female,3.34,4,3,1,7-8hrs,3,5,4,5,Off-Campus,2
22,1,Male,3.59,3,3,3,4-6hrs,5,3,0,3,With Family,3
27,4,Male,3.87,4,4,2,7-8hrs,1,3,1,3,Off-Campus,4
24,1,Female,4,2,1,1,1-3hrs,3,5,4,1,Off-Campus,1
29,1,Male,3.24,4,3,4,7-8hrs,3,3,5,3,Off-Campus,2
29,5,Female,3.82,2,5,4,4-6hrs,3,3,0,1,Off-Campus,5
23,4,Male,3.44,4,4,1,4-6hrs,3,1,4,1,On-Campus,4
26,1,Female,3.09,3,1,1,7-8hrs,3,3,0,5,Off-Campus,1
27,1,Male,3.1,2,1,5,7-8hrs,3,3,4,1,With Family,1
20,4,Male,,1,4,1,1-3hrs,5,5,2,3,On-Campus,4
23,4,Male,3.25,3,4,1,7-8hrs,1,3,1,3,Off-Campus,4
19,2,Male,3.73,1,2,2,7-8hrs,3,3,2,1,Off-Campus,2
22,5,Female,3.53,1,5,2,1-3hrs,3,1,4,3,On-Campus,5
21,1,Male,3,2,1,4,4-6hrs,3,5,3,3,With Family,1
31,5,Female,3.73,2,5,1,7-8hrs,3,3,0,3,On-Campus,5
29,5,Male,3.79,1,5,5,4-6hrs,3,3,0,5,On-Campus,5
28,1,Female,4,4,1,4,7-8hrs,3,3,4,1,With Family,1
24,1,Female,3.29,5,3,4,7-8hrs,3,3,1,5,On-Campus,3
24,2,Female,3,1,2,4,7-8hrs,3,3,3,1,Off-Campus,2
19,4,Female,3.46,1,4,4,7-8hrs,1,1,4,3,On-Campus,4
24,2,Male,2.98,2,2,4,4-6hrs,1,5,2,3,On-Campus,2
19,1,Female,3.29,2,3,5,7-8hrs,5,5,4,1,On-Campus,2
23,4,Female,3.04,4,4,3,4-6hrs,5,1,4,1,With Family,4
25,1,Female,4,4,3,3,7-8hrs,3,5,5,5,Off-Campus,3
25,4,Male,4,1,4,1,1-3hrs,1,1,5,1,With Family,4
21,1,Female,3.51,1,3,1,4-6hrs,3,3,2,3,On-Campus,3
23,5,Male,3.6,4,5,1,7-8hrs,3,5,3,5,Off-Campus,5
30,1,Male,4,5,1,4,7-8hrs,3,5,3,1,Off-Campus,1
23,2,Male,3.75,3,2,2,7-8hrs,1,3,5,1,Off-Campus,2
18,1,Female,3.33,4,3,2,4-6hrs,3,1,1,5,On-Campus,2
26,1,Female,3.61,1,1,2,1-3hrs,1,3,4,3,Off-Campus,1
21,1,Male,4,1,3,4,4-6hrs,1,3,5,1,Off-Campus,2
22,2,Male,3.86,2,2,4,4-6hrs,1,3,2,1,Off-Campus,2
19,1,Male,3.12,2,1,2,4-6hrs,3,1,0,1,On-Campus,1
25,5,Male,3.78,5,5,1,4-6hrs,1,3,0,1,On-Campus,5
22,4,Female,3.77,5,4,3,7-8hrs,1,5,4,3,With Family,4
19,2,Male,3.72,4,2,2,4-6hrs,5,1,3,1,Off-Campus,2
19,2,Male,3.26,3,2,4,4-6hrs,3,1,5,5,On-Campus,2
24,2,Female,3.45,2,2,3,4-6hrs,5,1,3,1,On-Campus,2
22,1,Female,3.97,5,3,3,7-8hrs,1,3,3,1,Off-Campus,2
24,2,Female,3.06,2,2,4,1-3hrs,3,3,2,1,Off-Campus,2
21,1,Female,3.05,4,3,4,7-8hrs,3,3,1,5,On-Campus,2
28,2,Female,3.84,4,2,1,7-8hrs,1,5,0,3,With Family,2
27,1,Female,3.92,5,3,4,4-6hrs,1,3,4,1,Off-Campus,2
21,1,Female,3.43,1,1,3,1-3hrs,3,3,5,3,On-Campus,1
18,4,Male,3.53,3,4,1,7-8hrs,3,3,5,1,Off-Campus,4
23,4,Female,3.44,5,4,1,7-8hrs,3,3,4,3,On-Campus,4
18,1,Female,3.71,4,1,2,7-8hrs,3,1,1,1,Off-Campus,1
26,5,Male,3.01,2,5,1,7-8hrs,3,5,0,3,On-Campus,5
26,2,Male,3.28,1,2,4,4-6hrs,5,3,0,3,Off-Campus,2
27,4,Female,4,4,4,2,7-8hrs,5,1,2,3,With Family,4
23,5,Female,2.86,2,5,3,4-6hrs,5,3,4,3,Off-Campus,5
20,5,Female,3.64,2,5,3,4-6hrs,3,3,5,5,With Family,5
23,1,Female,3.1,4,3,1,7-8hrs,5,5,0,3,On-Campus,3
22,4,Male,3.59,1,4,1,1-3hrs,5,3,3,5,Off-Campus,4
28,1,Female,3.12,4,1,2,7-8hrs,3,5,4,3,On-Campus,1
24,1,Male,3.37,4,3,1,7-8hrs,3,1,3,3,With Family,3
25,4,Male,3.78,4,4,1,7-8hrs,5,5,1,1,On-Campus,4
26,1,Female,3.62,4,1,2,4-6hrs,5,3,1,3,On-Campus,1
25,4,Male,3.28,4,4,2,7-8hrs,3,3,1,3,Off-Campus,4
24,1,Male,3.64,2,3,1,4-6hrs,3,3,1,1,With Family,3
19,1,Male,3.65,2,3,3,7-8hrs,3,3,1,3,Off-Campus,2
21,1,Male,3.09,5,1,3,4-6hrs,3,5,0,1,Off-Campus,1
19,1,Male,3.75,4,1,1,4-6hrs,3,5,2,3,Off-Campus,1
23,1,Male,3.77,2,3,5,7-8hrs,5,3,4,1,Off-Campus,3
18,1,Male,3.33,4,3,2,7-8hrs,3,3,2,5,With Family,3
20,1,Female,3.54,3,1,4,4-6hrs,3,1,0,1,With Family,1
29,5,Female,3.12,1,5,2,7-8hrs,3,3,3,5,With Family,5
21,1,Male,3.73,1,1,2,4-6hrs,3,3,2,5,Off-Campus,1
18,1,Female,3.26,3,3,5,7-8hrs,3,1,0,3,With Family,2
24,2,Female,3.41,5,2,1,4-6hrs,5,3,4,5,With Family,2
18,5,Male,3.31,3,5,2,4-6hrs,3,1,3,1,Off-Campus,5
25,5,Female,3.51,1,5,4,4-6hrs,3,1,5,1,Off-Campus,5
20,5,Male,3.19,2,5,1,4-6hrs,3,3,3,3,On-Campus,5
21,1,Female,3.72,3,3,2,7-8hrs,5,5,2,3,With Family,3
19,1,Female,3.94,5,3,5,4-6hrs,3,5,2,1,Off-Campus,2
21,1,Male,3.9,1,3,3,7-8hrs,5,3,4,3,Off-Campus,3
21,1,Female,3.52,3,3,5,4-6hrs,3,1,5,3,Off-Campus,2
19,1,Female,3.32,4,3,4,7-8hrs,3,5,1,1,Off-Campus,2
19,4,Male,3.14,3,4,2,4-6hrs,3,1,2,3,On-Campus,4
21,2,Female,3.26,1,2,1,1-3hrs,3,3,5,5,With Family,2
19,1,Male,3.37,2,3,3,7-8hrs,3,3,4,5,Off-Campus,2
24,4,Female,3.63,4,4,1,4-6hrs,5,3,5,5,On-Campus,4
24,4,Male,3.5,2,4,3,7-8hrs,3,5,3,5,On-Campus,4
27,1,Female,3.84,4,1,2,7-8hrs,3,3,0,1,On-Campus,1
21,1,Male,4,1,1,2,7-8hrs,5,1,5,5,On-Campus,1
19,5,Male,3.68,4,5,3,4-6hrs,3,3,0,3,On-Campus,5
